,Brand,Model,Year,Fuel,KM driven,Price
1354,Hyundai,Grand,2017,Petrol,"37,049 km","₹4,46,299"
1355,Renault,Kwid,2019,Petrol,"12,449 km","₹4,36,999"
1356,Hyundai,Grand,2017,Petrol,"12,908 km","₹4,75,099"
1357,Hyundai,Grand,2017,Petrol,"24,590 km","₹4,76,399"
1358,Maruti,Swift,2012,Diesel,"1,30,343 km","₹4,45,199"
1359,Hyundai,i20,2014,Petrol,"52,550 km","₹4,83,099"
1360,Maruti,Alto,2011,Petrol,"69,882 km","₹2,38,699"
1361,Maruti,Eeco,2018,Petrol,"32,068 km","₹3,87,999"
1362,Maruti,Swift,2014,Diesel,"79,550 km","₹5,41,599"
1363,Maruti,Swift,2014,Petrol,"33,716 km","₹5,01,999"
1364,Hyundai,NEW,2019,Petrol,"16,387 km","₹5,06,499"
1365,Hyundai,i20,2012,Petrol,"57,484 km","₹4,58,499"
1366,Hyundai,Grand,2016,Petrol,"37,823 km","₹4,80,299"
1367,Maruti,Eeco,2017,Petrol,"38,596 km","₹3,98,499"
1368,Maruti,Ritz,2011,Diesel,"71,856 km","₹3,35,799"
1369,Maruti,Ritz,2012,Diesel,"51,781 km","₹4,17,499"
1370,Maruti,Alto,2018,Petrol,"5,280 km","₹4,13,599"
1371,Hyundai,Grand,2014,Petrol,"38,708 km","₹3,82,299"
1372,Hyundai,i20,2015,Petrol,"59,460 km","₹6,00,799"
1373,Maruti,S,2016,Diesel,"14,895 km","₹7,70,099"
1374,Mahindra,Kuv100,2016,Petrol,"22,163 km","₹4,34,999"
1375,Mahindra,XUV500,2016,Diesel,"33,057 km","₹10,99,199"
1376,Hyundai,Eon,2015,Petrol,"34,016 km","₹2,45,500"
1377,Maruti,Alto,2016,Petrol,"13,482 km","₹3,68,599"
1378,Hyundai,Elite,2019,Petrol,890 km,"₹8,81,699"
1379,Maruti,Alto,2014,Petrol,"21,666 km","₹2,99,399"
1380,Renault,Kwid,2017,Petrol,"14,193 km","₹3,81,799"
1381,Maruti,Celerio,2018,Petrol,"19,995 km","₹5,22,099"
1382,Honda,WR-V,2017,Petrol,"44,150 km","₹7,08,899"
1383,Maruti,Alto,2015,Petrol,"47,374 km","₹2,69,099"
1384,Honda,City,2014,Petrol,"40,798 km","₹5,57,399"
1385,Renault,Kwid,2019,Petrol,"31,559 km","₹4,07,599"
1386,Honda,Jazz,2017,Petrol,"75,366 km","₹5,74,199"
1387,Maruti,Vitara,2019,Diesel,"47,557 km","₹10,18,399"
1388,Maruti,Ritz,2012,Petrol,"1,16,534 km","₹3,14,399"
1389,Maruti,Vitara,2018,Diesel,"88,052 km","₹8,40,999"
1390,Nissan,Sunny,2013,Diesel,"1,65,352 km","₹4,22,999"
1391,Maruti,Alto,2017,Petrol,"20,768 km","₹3,05,899"
1392,Hyundai,GRAND,2019,Petrol,"4,318 km","₹6,65,099"
1393,Maruti,Eeco,2019,Petrol,"9,338 km","₹4,56,199"
1394,Maruti,Baleno,2017,Petrol,"44,103 km","₹5,51,499"
1395,Honda,Amaze,2014,Petrol,"55,562 km","₹4,36,699"
1396,Hyundai,Elite,2017,Petrol,"63,730 km","₹6,58,599"
1397,Hyundai,Grand,2015,Petrol,"33,165 km","₹4,28,999"
1398,Hyundai,Grand,2016,Petrol,"7,894 km","₹4,62,099"
1399,Hyundai,NEW,2018,Petrol,"22,525 km","₹4,50,599"
1400,Hyundai,NEW,2019,Petrol,"6,196 km","₹5,04,399"
1401,Maruti,Swift,2017,Diesel,"19,935 km","₹6,68,199"
1402,Volkswagen,Polo,2017,Diesel,"38,926 km","₹6,18,599"
1403,Toyota,Innova,2019,Diesel,"1,87,298 km","₹14,65,799"
1404,Maruti,Vitara,2016,Diesel,"1,53,631 km","₹6,54,499"
1405,Hyundai,Elite,2016,Petrol,"24,365 km","₹6,20,199"
1406,Hyundai,i10,2010,Petrol,"24,013 km","₹3,03,499"
1407,Maruti,Baleno,2018,Petrol,"29,487 km","₹5,89,499"
1408,Maruti,Baleno,2017,Petrol,"63,831 km","₹6,14,599"
1409,Maruti,Baleno,2020,Petrol,"28,752 km","₹7,46,499"
1410,Maruti,Celerio,2015,Petrol,"45,509 km","₹3,68,399"
1411,Maruti,S,2019,Petrol,"29,101 km","₹4,63,099"
1412,Maruti,Alto,2015,Petrol,"33,751 km","₹2,82,099"
1413,Maruti,Swift,2017,Petrol,"29,996 km","₹5,10,299"
1414,Hyundai,i20,2016,Diesel,"57,997 km","₹6,60,699"
1415,Maruti,Alto,2015,Petrol,"30,557 km","₹2,80,099"
1416,Ford,Ecosport,2016,Petrol,"44,941 km","₹5,82,499"
1417,Hyundai,Verna,2016,Petrol,"83,328 km","₹6,52,299"
1418,Maruti,Swift,2018,Petrol,"18,581 km","₹6,62,099"
1419,Maruti,Alto,2017,Petrol,"35,080 km","₹3,03,299"
1420,Maruti,Dzire,2019,Petrol,"3,919 km","₹6,71,299"
1421,Ford,Ecosport,2018,Petrol,"18,130 km","₹8,50,199"
1422,Hyundai,GRAND,2019,Petrol,"33,518 km","₹6,55,899"
1423,Maruti,Eeco,2019,Petrol,"11,900 km","₹4,42,099"
1424,Maruti,IGNIS,2018,Petrol,"37,009 km","₹5,01,899"
1425,Hyundai,Elite,2018,Petrol,"87,805 km","₹6,72,599"
1426,Honda,Jazz,2017,Petrol,"64,497 km","₹6,33,799"
1427,Hyundai,Grand,2015,Petrol,"34,590 km","₹4,31,199"
1428,Hyundai,Grand,2016,Petrol,"63,674 km","₹4,27,999"
1429,Hyundai,NEW,2019,Petrol + CNG,"36,126 km","₹4,76,399"
1430,Hyundai,NEW,2019,Petrol,"24,806 km","₹5,37,399"
1431,Maruti,Swift,2016,Diesel,"46,562 km","₹5,74,399"
1432,Maruti,Celerio,2015,Petrol,"34,382 km","₹4,00,899"
1433,Maruti,Wagon,2015,Petrol,"76,693 km","₹4,01,699"
1434,Maruti,Swift,2013,Diesel,"1,19,880 km","₹4,40,199"
1435,Volkswagen,Polo,2016,Petrol,"22,590 km","₹5,69,499"
